city, lat, lon
Seattle, 47.590214, 237.65625
San Francisco, 37.756076, 237.65625
San Diego, 32.839007, 242.92969
Balboa, 8.956093, 280.54688
Montevideo, -34.946322, 303.75
Key West, 24.409744, 278.08594
New York, 40.56583, 285.82031
Mumbai, 18.790235, 72.773438
Chennai, 13.170725, 80.15625
Ko Taphao Noi, 7.902435, 98.4375
Cebu, 10.360971, 123.75
Kanmen, 27.921937, 121.28906
Busan, 34.946322, 129.02344
Darwin, -12.468287, 130.78125
Townsvile, -19.141454, 146.95312
Fort Denison, -33.892665, 151.17188
Dunedin, -45.834118, 170.50781
Fremantle, -32.136568, 115.66406
Bergen, 60.234099, 5.2734375
Den Helder, 52.858501, 4.5703125
Newlyn, 50.048748, 354.375
Brest, 48.292652, 355.42969
Marseille, 43.375584, 5.2734375
Honolulu, 21.24877, 202.14844
Midway Isan, 28.273156, 182.8125
Kwajalein, 8.604874, 167.69531
Pago Pago, -14.224383, 189.14062

